Local,Trabalho,Título,Autores/Participantes
Centro de Ciencias Juridicas e Economicas Apresentação de Vídeo. CCJE - Integração Interdisciplinar III: Apresentação de Vídeo | UNI.VID.260,3777,O IMPACTO DA REGULAÇÃO NA UNIVERSALIZAÇÃO DE SERVIÇOS PÚBLICOS BRASILEIROS.,"CAROLINE BATISTA,HUDSON ELISIO CAMARA MENDES SAMPAIO,CARLOS BOLONHA Apresentação de Vídeo. CCJE - Integração Interdisciplinar IV: Apresentação de Vídeo | UNI.VID.262"
Centro de Ciencias Juridicas e Economicas Apresentação de Vídeo. CCJE - Integração Interdisciplinar III: Apresentação de Vídeo | UNI.VID.260,3173,MOBILIDADE URBANA: ESTUDO DA GESTÃO ESTRATÉGICA DE TRANSPORTE NA GRANDE RIO,"CAMILA AVOSANI ZAGO,UMBERTO CASSARÁ DE CASTELLAMMARE SCOTT SICILIANO e-"
Centro de Ciencias Juridicas e Economicas Apresentação de Vídeo. CCJE - Integração Interdisciplinar III: Apresentação de Vídeo | UNI.VID.260,5621,MEDIAÇÃO E PESQUISA-PARTICIPANTE: UMA PROPOSTA DE INTERVENÇÃO NO COMPLEXO DA MARÉ,"CATIA BASTOS,NICOLE DUARTE,MARILSON SANTANA,LEANDRO DA CONCEIÇÃO SILVA,LEONARDO SÁ e-"
Centro de Ciencias Juridicas e Economicas Apresentação de Vídeo. CCJE - Integração Interdisciplinar III: Apresentação de Vídeo | UNI.VID.260,5490,"INFORMAÇÃO, SAÚDE E LIBERDADE: O PAPEL DA INTERNET NA BUSCA DE INFORMAÇÃO PARA A TOMADA DE DECISÃO SOBRE SOBRE PÍLULAS ANTICONCEPCIONAIS","GABRIEL GUIMARÃES ROCHA ALVES,PATRíCIA MALLMANN SOUTO PEREIRA,LUCIANO RODRIGUES DE SOUZA COUTINHO"
Centro de Ciencias Juridicas e Economicas Apresentação de Vídeo. CCJE - Integração Interdisciplinar III: Apresentação de Vídeo | UNI.VID.260,15,A AVALIAÇÃO DE RISCOS DE UMA AUDITORIA INDEPENDENTE COMPANHIA SMART S.A.,"FREDERICO OTAVIO SIROTHEAU CAVALCANTE,IGOR VILAR DE QUEIROZ LAZARO"
Centro de Ciencias Juridicas e Economicas Apresentação de Vídeo. CCJE - Integração Interdisciplinar III: Apresentação de Vídeo | UNI.VID.260,180,ANÁLISE DA USABILIDADE DOS PORTAIS WEB DAS UNIVERSIDADES FEDERAIS BRASILEIRAS COM BASE NO DESIGN EMOCIONAL,"GABRIEL JOSÉ TEIXEIRA DA SILVA,NYSIA SÁ Minicurso. CCJE - Minicurso Gestão Estratégica na Defesa: Os Novos Caminhos para o Elefante | PEX.UNI..368"
Centro de Ciencias Juridicas e Economicas Apresentação de Vídeo. CCJE - Integração Interdisciplinar III: Apresentação de Vídeo | UNI.VID.260,5995,GESTÃO ESTRATÉGICA NA DEFESA: NOVOS CAMINHOS PARA O ELEFANTE,"WILSON VIEIRA,JACINTHO MAIA NETO,KAIQUE BINI SBAMPATO,GLAYCE KEROLIN RODRIGUES MAXIMIANO,ADRIANA MARQUES"
Centro de Ciencias Juridicas e Economicas Apresentação de Vídeo. CCJE - Integração Interdisciplinar III: Apresentação de Vídeo | UNI.VID.260,2787,MAPEANDO O MINISTÉRIO DA DEFESA II: DESENHO INSTITUCIONAL E PRINCIPAIS POLÍTICAS,"ADRIANA MARQUES,KLEBER ALONSO,PATRICIA RODRIGUES DE OLIVEIRA"
Centro de Ciencias Juridicas e Economicas Apresentação de Vídeo. CCJE - Integração Interdisciplinar III: Apresentação de Vídeo | UNI.VID.260,2025,BASE INDUSTRIAL DE DEFESA: UMA ANÁLISE SOBRE AS SUAS ESTRUTURAS E AS POLÍTICAS ESTATAIS DE FOMENTO,"FLÁVIO ALVES COMBAT,ANDRÉ LUIS FARIA TEIXEIRA DE OLIVEIRA,CAROLINA MIRANDA CAVALCANTE"
Centro de Ciencias Juridicas e Economicas Apresentação de Vídeo. CCJE - Integração Interdisciplinar III: Apresentação de Vídeo | UNI.VID.260,4263,O PAPEL DO PAQUISTÃO NO JOGO DAS GRANDES POTÊNCIAS,"DIMITRIA NUNES,MAURICIO METRI"
