Local,Trabalho,Título,Autores/Orientadores
Centro de Ciencias Juridicas e Economicas,1187,UMA ANÁLISE INSTITUCIONAL SOBRE A UTILIZAÇÃO DE DADOS DA AGÊNCIA NACIONAL DE ÁGUAS NO DESENVOLVIMENTO DE POLÍTICAS PUBLICAS,"CARLOS BOLONHA,PEDRO HENRIQUE COSTA CARVALHO DA SILVA"
Centro de Ciencias Juridicas e Economicas,2942,O Supremo Tribunal Federal e a Legalidade Autoritária na Ditadura Militar: uma análise do Recurso Criminal 1.342/SP,"CARLOS BOLONHA,DANIEL ANUNCIAÇÃO"
Centro de Ciencias Juridicas e Economicas,3041,A Era dos Extremos a queda do Liberalismo Clássico: um estudo a partir do caso Roe V. Wade AUTORES E,"CARLOS BOLONHA,MARCELLE GENERINE CUPERTINO DA SILVA"
Centro de Ciencias Juridicas e Economicas,3442,SUB−REPRESENTAÇÃO TERRITORIAL E SISTEMA PROPORCIONAL NO BRASIL: O INTERIOR FLUMINENSE NA CÂMARA DOS DEPUTADOS,"CARLOS BOLONHA,GABRIEL MENDES COSTA"
Centro de Ciencias Juridicas e Economicas,3919,ENTRE DESASTRES E FEDERALISMOS: UMA ANÁLISE COMPARATIVA ENTRE BRASIL E ESTADOS UNIDOS NA RESPOSTA AOS DESASTRES AMBIENTAIS,"CARLOS BOLONHA,MAYCON LUCAS CORDEIRO FREITAS"
Centro de Ciencias Juridicas e Economicas,6542,EFICÁCIA DAS AÇÕES DE FISCALIZAÇÃO E SANÇÃO DA AUTORIDADE NACIONAL DE PROTEÇÃO DE DADOS,"CARLOS BOLONHA,DORA MAGANHOTO DONEDA,LUCAS VENANCIO AMORIM"
Centro de Ciencias Juridicas e Economicas,24,POLUIÇÃO INVISÍVEL: UMA ANÁLISE SOBRE COMO O CONTEÚDO DO TIKTOK COMUNICA SOBRE MICROPLÁSTICOS,"GABRIEL GONCALVES BAPTISTA,MARIANNA ZATTAR,THALYSON DA ROCHA MENDONCA"
Centro de Ciencias Juridicas e Economicas,364,DESINFORMAÇÃO: UM ESTUDO À LUZ DOS IMPACTOS PSICOSSOCIAIS NA CONTEMPORANEIDADE AUTORES E,"ADRIANA MORAES PESSOA DO REGO BARROS,JOAO VICTOR MAIANI PEREIRA,MARIANNA ZATTAR,MYCHELLE SOARES SILVA DOS SANTOS"
Centro de Ciencias Juridicas e Economicas,396,BIBLIOTECA E CIDADANIA: UM ESTUDO A PARTIR DO TERRITÓRIO,"MARIANNA ZATTAR,MYCHELLE SOARES SILVA DOS SANTOS"
Centro de Ciencias Juridicas e Economicas,1941,Emoção e competência em informação: uma revisão bibliográfica,"MARIANNA ZATTAR,RAPHAELLA TEODORO DA SILVA"
Centro de Ciencias Juridicas e Economicas,3360,INDICADORES MÉTRICOS DE PRODUTIVIDADE CIENTÍFICA E POPULARIDADE DO PROGRAMA DE PÓS−GRADUAÇÃO EM BIODIVERSIDADE E BIOLOGIA EVOLUTIVA DA UNIVERSIDADE FEDERAL DO RIO DE JANEIRO AUTORES E,"FELIPE SILVA IZIDORO DA FONSECA,MARIA JOSE VELOSO DA COSTA SANTOS,THAMIRES ANELLI RIBEIRO,VÂNIA LISBOA GUEDES,VITORIA VENANCIO DOMINGOS"
Centro de Ciencias Juridicas e Economicas,1045,DESIGUALDADE NO ACESSO À EDUCAÇÃO: CONSEQUÊNCIA PARA PROMOÇÃO DA CIDADANIA AUTORES E,"ANA CAROLINA ALVES COSTA,EDUARDO RIBEIRO MOREIRA,KATLHYN CARLA CORDEIRO SANTOS"
Centro de Ciencias Juridicas e Economicas,3603,AGÊNCIAS REGULADORAS NO BRASIL: AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES E O TRATAMENTO INFORMACIONAL A PARTIR DA GESTÃO DE DADOS,"ANA LUISA FERREIRA VITAL,CARLOS BOLONHA"
Centro de Ciencias Juridicas e Economicas,6033,O IMPACTO DAS PRODUÇÕES INTELECTUAIS BRASILEIRAS NOS DIREITOS FUNDAMENTAIS AUTORES E,"CARLOS BOLONHA,ISABELA SODRÉ TAVARES,PEDRO DINIZ CARVALHO"
Centro de Ciencias Juridicas e Economicas,6089,A crise dos jogos de azar online no Brasil: uma perspectiva das ações e decisões do STF perante a prática dessa modalidade.,"CARLOS BOLONHA,ISABELA FROTTé"
Centro de Ciencias Juridicas e Economicas,6131,A CONSTITUIÇÃO DE 1988 E O TETO DE GASTOS,"CARLOS BOLONHA,JOAO PEDRO DE FREITAS FAGUNDES,PAULA MENANDRO MACAHYBA,PEDRO DE ARAÚJO FERNANDES"
Centro de Ciencias Juridicas e Economicas,6639,O ENSINO JURÍDICO NA CIDADE DO RIO: UMA ANÁLISE COMPARATIVA ENTRE A FACULDADE NACIONAL DE DIREITO E A ESCOLA DE DIREITO DO RIO DE JANEIRO DA FUNDAÇÃO GETULIO VARGAS,"CARLOS BOLONHA,DANIEL ANUNCIAÇÃO,LARISSA PINHEIRO COSTA,MAYCON LUCAS CORDEIRO FREITAS Minicurso (atividade extra). IRID 24 - Minicurso: CULTURA OCEÂNICA: ENSINANDO E APRENDENDO SOBRE O MAR NO RIO DE JANEIRO | EXT..951"
Centro de Ciencias Juridicas e Economicas,2574,CULTURA OCEÂNICA: ENSINANDO E APRENDENDO SOBRE O MAR NO RIO DE JANEIRO AUTORES E,"CARLOS HENRIQUE FERREIRA DA SILVA JÚNIOR,DANIELE DIONISIO DA SILVA,LARISSA ROSEVICS,NATHALIA MAGALHAES MACEDO 1"
Centro de Ciencias Juridicas e Economicas,829,ATUAÇÃO DAS TAXONOMIAS NO CONTEXTO DA PÓS−VERDADE: UMA INVESTIGAÇÃO SOBRE ENVIESAMENTO E CONFIABILIDADE EM PLATAFORMAS DE VERIFICAÇÃO DE FATOS,"JULIANA HORTA DE ASSIS PINTO,VANESSA BEZERRA DA COSTA"
Centro de Ciencias Juridicas e Economicas,3628,"MULTIDÕES EM MARCHA: PROPOSTA DE INDEXAÇÃO PARA FOTOGRAFIAS DE MANIFESTAÇÕES POLÍTICAS E CULTURAIS NA AVENIDA PRESIDENTE VARGAS, REGIÃO CENTRAL DA CIDADE DO RIO DE JANEIRO","DIOGO XAVIER DA MATA,FABIANA AUGUSTA DO NASCIMENTO RITA MOCO"
Centro de Ciencias Juridicas e Economicas,3730,"DESAFIOS E POTENCIALIDADES NA PRODUÇÃO, REUSO E REMIX DE REA: LEVANTAMENTO BIBLIOGRÁFICO","ANA MARIA FERREIRA DE CARVALHO,JADE CAVALCANTI DE SOUZA,NYSIA OLIVEIRA DE Sá"
