Local,Trabalho,Título,Autores/Participantes
Centro de Ciencias Juridicas e Economicas,1596,MARKETING EM JOGOS ONLINE: O CASO DE LEAGUE OF LEGENDS,"THOMAS COMIN GREGORIO VIDAL,PAULO CESAR LOPES PEREIRA"
Centro de Ciencias Juridicas e Economicas,3794,CONHECENDO A FACULDADE NACIONAL DE DIREITO (UFRJ): UM RESGATE DA MEMÓRIA HISTÓRICO- CULTURAL,"MATHEUS BAIA DE ANDRADE,MARIA ISABEL SANTANA POMAROLI,FLAVIO ALVES MARTINS"
Centro de Ciencias Juridicas e Economicas,2042,O IMPACTO DA GOVERNANÇA CORPORATIVA DAS EMPRESAS NA RENTABILIDADE AOS ACIONISTAS: UM ESTUDO SOBRE FUNDOS DE INVESTIMENTOS EM AÇÕES,"RENNAN JUNIOR PAIVA LOPES,RENATO NUNES BITTENCOURT"
Centro de Ciencias Juridicas e Economicas,4868,GOVERNANÇA CORPORATIVA NAS EMPRESAS BRASILEIRAS DE EDIFICAÇÕES E CONSTRUÇÃO PESADA,"MARIA DE FATIMA BRUNO DE FARIA,RODRIGO LINS"
Centro de Ciencias Juridicas e Economicas,5422,AVALIAÇÃO DA IMPLEMENTAÇÃO DA LEI DE ACESSO À INFORMAÇÃO NOS SITES DAS AGÊNCIAS REGULADORAS NACIONAIS,"BIANCA DE SOUZA JUNQUEIRA,HARICIA PEREIRA TIAGO,LIVIA MENEZES LIMA MOREIRA,LUCAS BASTOS,ANA MARIA BARCELLOS MALIN"
Centro de Ciencias Juridicas e Economicas,5744,A CIDADE E O REFUGIADO: POLÍTICAS PÚBLICAS DE INTEGRAÇÃO NA SOCIEDADE BRASILEIRA,"ANA CAROLINA MOREIRA FERREIRA,RENATO NUNES BITTENCOURT"
Centro de Ciencias Juridicas e Economicas,294,IMPACTOS E DESAFIOS DAS NOVAS TECNOLOGIAS DIGITAIS NA FORMAÇÃO E EXERCÍCIO DA LIDERANÇA TRANSFORMADORA.,"GUILHERME KOTCHERGENKO BATISTA,RICARDO HENRY DIAS ROHM"
Centro de Ciencias Juridicas e Economicas,301,"PRÁTICAS DE GESTÃO DE PESSOAS COM RELAÇÃO À DIVERSIDADE SEXUAL EM EMPRESAS BRASILEIRAS NA ATUALIDADE: UMA REFLEXÃO ÉTICA, POLÍTICA E ESTRATÉGICA RUMO À MAIOR IGUALDADE E INCLUSÃO DAS MINORIAS E À EXCELÊNCIA EM PROCESSOS DE INOVAÇÃO.","GABRIEL DE SOUZA VALUANO,JOSÉ OTÁVIO MARTINS,RICARDO HENRY DIAS ROHM"
Centro de Ciencias Juridicas e Economicas,446,DESENVOLVIMENTO DE LIDERANÇAS TRANSFORMADORAS: UM MODELO DE FORMAÇÃO E EMPODERAMENTO DE LÍDERES DE PROJETOS SOCIAIS,"RICARDO HENRY DIAS ROHM,LUIZ FELIPE FRACALOSSI CARREZ"
Centro de Ciencias Juridicas e Economicas,1324,A CRISE ÉTICA E SEUS IMPACTOS NA FORMAÇÃO DE LIDERANÇAS TRANSFORMADORAS: UMA ANÁLISE CRÍTICA DOS DESAFIOS SOCIOECONÔMICOS CONTEMPORÂNEOS.,"CEZAR FIGUEIREDO FERNANDES,RICARDO HENRY DIAS ROHM,THAIS MOURA REGUFFE"
